project_id,project_type,region,planned_budget_usd,actual_cost_usd,cost_overrun_pct,planned_duration_days,actual_duration_days,schedule_slippage_pct,team_size,contractor_experience_years,complexity_rating,num_subcontractors,num_permits_required,safety_incidents,num_change_orders,rework_cost_pct,material_cost_variance_pct,labour_overtime_hours,weather_delay_days,client_change_requests,inspection_failures,risk_level,budget_per_team_member,team_density,subcontractor_ratio,permit_complexity,experience_complexity_ratio,budget_duration_ratio,team_complexity_interaction
PRJ-00295,Infrastructure,Central,146937.95,178826.63,21.7,56,75,34.6,6,,5,4,3.0,3,8,6.05,15.41,73.6,11,2,2,Medium,24489.658333333336,0.1071428571428571,0.6666666666666666,0.6,,2623.8919642857145,30
PRJ-00810,Renovation,South,530306.47,542973.32,2.39,64,72,13.11,11,15.0,3,2,0.0,1,2,0.0,5.46,42.6,2,3,0,Low,48209.679090909085,0.171875,0.1818181818181818,0.0,5.0,8286.03859375,33
PRJ-00298,Infrastructure,East,615263.57,713906.39,16.03,84,94,12.48,12,17.0,5,8,2.0,1,5,4.29,12.03,35.9,11,4,0,Low,51271.964166666665,0.1428571428571428,0.6666666666666666,0.4,3.4,7324.566309523809,60
PRJ-01020,Commercial,South,729650.42,924795.91,26.75,77,105,36.86,12,32.4,7,6,4.0,0,1,9.75,13.73,33.0,1,1,0,Medium,60804.20166666667,0.1558441558441558,0.5,0.5714285714285714,4.628571428571428,9475.979480519482,84
PRJ-00594,Industrial,Central,795229.92,956319.48,20.26,71,95,33.7,13,9.8,3,6,2.0,2,5,6.4,7.12,86.1,5,2,2,Medium,61171.53230769231,0.1830985915492957,0.4615384615384615,0.6666666666666666,3.266666666666667,11200.421408450706,39
PRJ-00788,Commercial,East,424640.28,453357.61,6.76,73,87,19.17,8,15.2,5,8,4.0,2,5,3.6,13.34,77.6,7,0,2,Low,53080.035,0.1095890410958904,1.0,0.8,3.04,5816.990136986302,40
PRJ-00082,Commercial,Central,1673538.9,1984916.9,18.61,90,113,25.14,22,15.0,5,6,3.0,2,2,6.08,12.34,52.5,3,6,1,Medium,76069.95,0.2444444444444444,0.2727272727272727,0.6,3.0,18594.876666666667,110
PRJ-00234,Industrial,East,628852.82,753429.09,19.81,78,110,40.94,9,7.9,5,6,3.0,0,7,10.55,18.94,58.8,5,1,3,Medium,69872.53555555554,0.1153846153846153,0.6666666666666666,0.6,1.58,8062.21564102564,45
PRJ-00986,Renovation,South,209322.1,232856.19,11.24,56,65,16.48,7,8.8,2,6,3.0,1,3,4.61,9.23,54.8,5,5,0,Low,29903.157142857144,0.125,0.8571428571428571,1.5,4.4,3737.894642857143,14
PRJ-00267,Commercial,South,415476.4,456143.31,9.79,79,87,10.32,10,8.9,5,6,4.0,0,1,7.78,7.44,38.9,3,3,2,Low,41547.64,0.1265822784810126,0.6,0.8,1.78,5259.194936708861,50
PRJ-00211,Industrial,Central,408500.1,516666.12,26.48,54,72,33.12,9,11.0,4,3,1.0,2,4,5.45,13.84,59.1,7,2,0,Medium,45388.9,0.1666666666666666,0.3333333333333333,0.25,2.75,7564.816666666667,36
PRJ-00615,Commercial,East,356970.09,387640.38,8.59,70,79,13.1,8,18.4,6,6,2.0,3,2,5.3,2.11,40.6,3,3,3,Low,44621.26125,0.1142857142857142,0.75,0.3333333333333333,3.0666666666666664,5099.572714285715,48
PRJ-01123,Infrastructure,Central,632077.73,775237.6,22.65,84,98,17.11,13,13.0,4,4,3.0,2,2,6.6,12.23,33.4,9,2,0,Medium,48621.36384615384,0.1547619047619047,0.3076923076923077,0.75,3.25,7524.734880952381,52
PRJ-00963,Residential,North,166469.75,222821.57,33.85,63,84,34.12,7,9.0,5,6,5.0,4,4,6.19,5.59,54.0,6,1,3,High,23781.39285714286,0.1111111111111111,0.8571428571428571,1.0,1.8,2642.376984126984,35
PRJ-01193,Infrastructure,Central,1267228.89,1588010.48,25.31,67,86,28.7,22,7.8,9,6,5.0,0,1,8.35,,55.4,13,6,1,Medium,57601.31318181818,0.3283582089552239,0.2727272727272727,0.5555555555555556,0.8666666666666667,18913.864029850745,198
PRJ-00439,Infrastructure,South,83226.38,87271.25,4.86,54,57,5.9,6,24.0,5,4,2.0,2,1,7.06,3.14,23.2,8,1,1,Low,13871.063333333334,0.1111111111111111,0.6666666666666666,0.4,4.8,1541.2292592592594,30
PRJ-00241,Infrastructure,South,407425.75,499286.6,22.55,58,82,42.01,8,11.7,4,8,3.0,1,4,2.59,6.3,46.5,8,2,1,Medium,50928.21875,0.1379310344827586,1.0,0.75,2.925,7024.581896551724,32
PRJ-00351,Industrial,South,172377.41,173517.96,0.66,61,69,13.73,6,12.3,1,6,2.0,2,2,2.3,1.16,32.6,3,1,0,Low,28729.568333333333,0.0983606557377049,1.0,2.0,12.3,2825.859180327869,6
PRJ-00045,Infrastructure,East,658822.31,779518.24,18.32,73,86,18.38,13,9.6,4,8,1.0,0,2,5.18,8.05,29.0,5,1,1,Low,50678.63923076924,0.1780821917808219,0.6153846153846154,0.25,2.4,9024.963150684933,52
PRJ-00845,Residential,West,1575660.78,1997813.15,26.79,96,132,38.0,21,8.6,9,10,8.0,2,8,9.91,9.09,69.8,3,2,5,High,75031.46571428572,0.21875,0.4761904761904761,0.8888888888888888,0.9555555555555556,16413.133125,189
PRJ-01070,Commercial,Central,2321991.06,2883414.97,24.18,96,119,24.19,33,20.7,7,8,4.0,2,4,1.86,14.79,16.1,5,3,1,Medium,70363.36545454546,0.34375,0.2424242424242424,0.5714285714285714,2.957142857142857,24187.406875,231
PRJ-00343,Infrastructure,East,1774702.87,1924012.26,8.41,112,130,15.87,16,9.9,2,4,6.0,5,0,7.54,14.31,54.2,3,2,3,Medium,110918.929375,0.1428571428571428,0.25,3.0,4.95,15845.561339285716,32
PRJ-00644,Residential,East,296125.18,362034.83,22.26,62,68,9.34,8,12.0,7,10,3.0,2,2,5.79,14.77,35.7,5,3,1,Medium,37015.6475,0.1290322580645161,1.25,0.4285714285714285,1.7142857142857142,4776.212580645161,56
PRJ-00677,Renovation,North,485155.69,562940.19,16.03,61,79,29.09,9,6.3,3,4,3.0,8,7,7.48,17.0,79.0,4,1,1,Medium,53906.18777777778,0.1475409836065573,0.4444444444444444,1.0,2.1,7953.371967213115,27
PRJ-00210,Commercial,Central,548284.47,676960.24,23.47,58,74,26.8,11,4.4,7,10,3.0,6,2,14.09,16.08,45.0,5,2,0,High,49844.042727272725,0.1896551724137931,0.9090909090909092,0.4285714285714285,0.6285714285714287,9453.18051724138,77
PRJ-00480,Commercial,Central,427116.02,472427.39,10.61,79,88,10.91,8,12.3,4,7,4.0,0,4,1.76,10.87,23.5,3,3,1,Low,53389.5025,0.1012658227848101,0.875,1.0,3.075,5406.531898734177,32
PRJ-00077,Commercial,East,642520.92,737029.68,14.71,62,81,30.31,13,20.3,5,8,5.0,1,2,4.05,-1.37,16.6,1,4,3,Medium,49424.68615384616,0.2096774193548387,0.6153846153846154,1.0,4.0600000000000005,10363.240645161291,65
PRJ-00865,Residential,East,239238.77,286111.27,19.59,56,63,12.95,7,7.9,7,6,0.0,1,4,3.02,4.51,48.8,6,2,0,Medium,34176.96714285714,0.125,0.8571428571428571,0.0,1.1285714285714286,4272.120892857142,49
PRJ-00533,Commercial,North,106691.27,118591.34,11.15,79,91,15.03,6,19.0,4,8,3.0,0,3,1.66,4.0,42.5,6,3,0,Low,17781.878333333334,0.0759493670886076,1.3333333333333333,0.75,4.75,1350.5224050632912,24
PRJ-00875,Infrastructure,South,182113.23,210425.19,15.55,52,63,21.32,7,19.0,5,6,3.0,1,3,3.08,9.04,51.2,11,0,1,Medium,26016.17571428572,0.1346153846153846,0.8571428571428571,0.6,3.8,3502.1775,35
PRJ-00543,Infrastructure,West,335874.5,398675.87,18.7,67,85,26.44,9,10.7,4,7,3.0,0,1,10.27,13.41,44.7,4,2,1,Medium,37319.38888888889,0.1343283582089552,0.7777777777777778,0.75,2.675,5013.05223880597,36
PRJ-00108,Residential,West,574294.11,675748.65,17.67,56,74,31.82,9,13.5,6,7,2.0,1,4,2.7,3.38,28.0,1,1,1,Medium,63810.456666666665,0.1607142857142857,0.7777777777777778,0.3333333333333333,2.25,10255.251964285711,54
PRJ-00786,Commercial,Central,331543.29,378473.62,14.16,71,80,13.24,8,9.4,2,8,2.0,2,3,0.0,-6.05,0.0,4,2,1,Low,41442.91125,0.1126760563380281,1.0,1.0,4.7,4669.623802816901,16
PRJ-00324,Industrial,South,638283.3,749866.61,17.48,88,115,31.12,13,15.3,6,7,5.0,1,3,7.51,10.75,74.2,7,2,0,Medium,49098.71538461539,0.1477272727272727,0.5384615384615384,0.8333333333333334,2.5500000000000003,7253.219318181818,78
PRJ-00425,Industrial,West,546335.21,661054.19,21.0,87,114,31.21,10,8.3,3,6,6.0,1,5,6.32,9.63,66.1,4,2,1,Medium,54633.52099999999,0.1149425287356321,0.6,2.0,2.766666666666667,6279.715057471264,30
PRJ-00079,Industrial,North,478861.46,522745.37,9.16,83,86,3.16,9,24.5,4,6,3.0,1,0,0.0,-0.39,45.8,1,1,1,Low,53206.82888888889,0.108433734939759,0.6666666666666666,0.75,6.125,5769.415180722892,36
PRJ-01056,Industrial,Central,303016.49,376726.96,24.33,62,78,26.4,9,6.6,5,10,5.0,2,1,7.13,14.0,32.6,5,3,0,Medium,33668.49888888889,0.1451612903225806,1.1111111111111112,1.0,1.3199999999999998,4887.362741935483,45
PRJ-00297,Renovation,North,5790299.53,7033186.57,21.46,191,243,27.06,59,13.3,4,7,1.0,1,3,11.45,22.84,56.2,3,2,0,Medium,98140.67,0.3089005235602094,0.1186440677966101,0.25,3.325,30315.70434554974,236
PRJ-00171,Commercial,Central,177105.01,219004.49,23.66,60,69,15.37,7,13.8,4,3,1.0,1,2,5.78,10.09,76.6,4,1,1,Medium,25300.71571428572,0.1166666666666666,0.4285714285714285,0.25,3.45,2951.7501666666667,28
PRJ-00050,Residential,North,679648.9,715096.55,5.22,93,110,18.32,10,13.7,1,6,2.0,0,0,0.0,-1.82,36.7,6,3,1,Low,67964.89,0.1075268817204301,0.6,2.0,13.7,7308.052688172043,10
PRJ-00911,Infrastructure,East,346542.64,418470.86,20.76,59,66,11.8,8,12.1,5,6,2.0,1,2,6.65,6.8,14.4,11,1,2,Medium,43317.83,0.135593220338983,0.75,0.4,2.42,5873.60406779661,40
PRJ-00536,Residential,South,1305936.19,1689121.49,29.34,103,146,41.81,18,9.1,4,4,3.0,3,6,12.54,16.23,40.6,7,3,0,High,72552.01055555555,0.174757281553398,0.2222222222222222,0.75,2.275,12678.99213592233,72
PRJ-00597,Infrastructure,South,528501.36,664457.62,25.72,63,82,29.4,9,10.6,6,4,4.0,3,4,8.63,17.57,83.8,9,4,4,Medium,58722.37333333333,0.1428571428571428,0.4444444444444444,0.6666666666666666,1.7666666666666666,8388.910476190476,54
PRJ-00576,Commercial,East,559432.94,678004.95,21.2,64,72,12.32,10,11.2,4,4,4.0,0,4,4.43,2.61,37.8,3,2,0,Medium,55943.294,0.15625,0.4,1.0,2.8,8741.1396875,40
PRJ-00736,Industrial,North,881482.04,952290.88,8.03,105,134,27.44,11,25.6,8,7,9.0,0,3,6.7,0.72,27.7,3,3,5,Low,80134.73090909091,0.1047619047619047,0.6363636363636364,1.125,3.2,8395.067047619048,88
PRJ-00926,Residential,West,1083894.71,1248178.09,15.16,82,99,21.27,17,17.1,5,10,5.0,1,6,6.81,2.98,75.2,8,1,1,Medium,63758.51235294117,0.2073170731707317,0.5882352941176471,1.0,3.4200000000000004,13218.228170731709,85
PRJ-00708,Infrastructure,South,235042.24,218123.82,-7.2,69,71,2.33,8,19.4,4,6,5.0,0,4,0.0,4.83,7.2,10,1,1,Low,29380.28,0.1159420289855072,0.75,1.25,4.85,3406.4092753623186,32
PRJ-00311,Commercial,North,429723.21,426453.62,-0.76,64,71,11.19,8,11.3,4,8,1.0,0,4,2.59,15.15,48.3,3,2,1,Low,53715.40125,0.125,1.0,0.25,2.825,6714.42515625,32
PRJ-00616,Infrastructure,East,398993.28,509564.02,27.71,60,79,30.98,10,12.2,4,5,4.0,1,6,7.12,8.69,71.9,10,3,1,Medium,39899.328,0.1666666666666666,0.5,1.0,3.05,6649.888000000001,40
PRJ-00071,Residential,Central,1799347.44,2244644.08,24.75,75,101,34.53,22,8.0,6,5,5.0,2,8,9.98,11.58,64.3,4,4,3,Medium,81788.52,0.2933333333333333,0.2272727272727272,0.8333333333333334,1.3333333333333333,23991.2992,132
PRJ-00757,Commercial,West,912909.94,1087587.54,19.13,98,126,29.07,12,16.1,9,8,2.0,1,6,5.12,20.15,50.2,6,2,2,Medium,76075.82833333332,0.1224489795918367,0.6666666666666666,0.2222222222222222,1.788888888888889,9315.407551020407,108
PRJ-00024,Renovation,Central,916461.43,1186489.22,29.46,103,134,29.69,12,7.6,8,9,4.0,4,7,9.83,21.6,97.3,1,0,0,High,76371.78583333334,0.116504854368932,0.75,0.5,0.95,8897.683786407768,96
PRJ-00110,Renovation,North,366542.95,418198.12,14.09,78,96,22.81,10,8.8,5,12,5.0,4,3,4.43,17.56,53.7,6,3,0,Medium,36654.295,0.1282051282051282,1.2,1.0,1.7600000000000002,4699.2685897435895,50
PRJ-01005,Industrial,South,103232.25,123574.62,19.71,78,95,22.31,6,7.9,4,6,2.0,1,1,5.43,2.92,35.6,1,7,0,Medium,17205.375,0.0769230769230769,1.0,0.5,1.975,1323.4903846153843,24
PRJ-00059,Residential,East,291876.38,350366.07,20.04,78,94,20.95,7,8.2,5,6,3.0,3,6,7.84,5.14,60.9,5,4,4,Medium,41696.625714285714,0.0897435897435897,0.8571428571428571,0.6,1.64,3742.004871794872,35
PRJ-00440,Industrial,Central,376142.63,435978.35,15.91,79,95,20.64,9,7.2,2,5,0.0,0,1,0.45,12.92,41.0,6,2,0,Low,41793.625555555554,0.1139240506329113,0.5555555555555556,0.0,3.6,4761.29911392405,18
PRJ-00924,Industrial,West,1341873.55,1705325.41,27.09,113,149,32.17,23,13.6,5,6,5.0,3,3,10.77,13.49,53.3,4,3,3,Medium,58342.328260869566,0.2035398230088495,0.2608695652173913,1.0,2.72,11874.987168141592,115
PRJ-00328,Industrial,North,1110328.53,1459695.4,31.47,63,96,52.92,12,3.5,8,12,6.0,5,2,11.74,9.67,73.7,5,5,3,High,92527.3775,0.1904761904761904,1.0,0.75,0.4375,17624.262380952383,96
PRJ-00428,Infrastructure,Central,92369.06,127888.41,38.45,44,58,32.12,6,5.5,6,5,5.0,1,4,7.53,13.04,88.6,7,4,2,Medium,15394.843333333332,0.1363636363636363,0.8333333333333334,0.8333333333333334,0.9166666666666666,2099.2968181818183,36
PRJ-01019,Residential,North,4738668.18,5574753.14,17.64,218,272,24.59,43,19.0,4,7,4.0,2,4,9.11,3.53,54.3,3,2,0,Medium,110201.58558139534,0.1972477064220183,0.1627906976744186,1.0,4.75,21737.01,172
PRJ-00662,Renovation,South,770358.95,760921.85,-1.23,71,94,32.49,10,,3,4,4.0,3,3,3.79,3.61,55.9,5,2,0,Low,77035.89499999999,0.1408450704225352,0.4,1.3333333333333333,,10850.126056338027,30
PRJ-01146,Commercial,West,1109145.06,1351237.7,21.83,111,139,24.95,13,3.6,2,7,1.0,3,2,5.77,9.14,40.7,2,2,0,Medium,85318.85076923078,0.1171171171171171,0.5384615384615384,0.5,1.8,9992.297837837838,26
PRJ-00383,Infrastructure,West,1373954.13,1666081.36,21.26,79,95,19.74,16,11.5,3,10,0.0,0,4,4.68,4.94,49.0,7,5,1,Medium,85872.133125,0.2025316455696202,0.625,0.0,3.8333333333333335,17391.824430379744,48
PRJ-00102,Industrial,North,630355.47,810381.17,28.56,77,100,29.23,9,15.7,7,6,2.0,1,0,7.81,7.13,46.5,4,1,1,Medium,70039.49666666666,0.1168831168831168,0.6666666666666666,0.2857142857142857,2.242857142857143,8186.434675324675,63
PRJ-00334,Infrastructure,South,527336.2,646816.62,22.66,80,111,38.2,8,26.0,7,8,3.0,3,3,5.76,7.83,50.3,13,8,0,Medium,65917.025,0.1,1.0,0.4285714285714285,3.7142857142857135,6591.702499999999,56
PRJ-00904,Commercial,South,178531.8,194297.37,8.83,50,57,13.8,7,13.3,5,6,2.0,0,3,8.31,0.86,15.1,3,6,2,Low,25504.542857142857,0.14,0.8571428571428571,0.4,2.66,3570.636,35
PRJ-00436,Residential,East,180010.34,223193.34,23.99,62,81,30.12,7,10.6,7,8,4.0,1,1,6.79,11.91,66.0,6,3,3,Medium,25715.762857142858,0.1129032258064516,1.1428571428571428,0.5714285714285714,1.5142857142857142,2903.392580645161,49
PRJ-00600,Industrial,West,506395.38,649442.34,28.25,79,104,32.18,10,5.8,4,5,1.0,1,2,3.95,7.95,50.0,5,4,1,Medium,50639.538,0.1265822784810126,0.5,0.25,1.45,6410.068101265822,40
PRJ-00052,Residential,Central,458503.94,531709.6,15.97,64,78,22.19,9,3.7,1,6,1.0,2,3,6.99,13.69,57.1,3,3,1,Medium,50944.88222222222,0.140625,0.6666666666666666,1.0,3.7,7164.1240625,9
PRJ-00366,Commercial,East,213584.24,251026.94,17.53,51,62,22.26,7,21.5,8,9,5.0,2,3,5.91,11.05,66.2,4,1,2,Medium,30512.03428571429,0.1372549019607843,1.2857142857142858,0.625,2.6875,4187.926274509804,56
PRJ-00287,Residential,South,222549.45,274723.9,23.44,82,115,39.8,7,9.4,6,11,3.0,3,4,3.96,14.52,62.6,6,1,2,Medium,31792.77857142857,0.0853658536585365,1.5714285714285714,0.5,1.5666666666666669,2714.0176829268294,42
PRJ-00199,Residential,Central,175944.52,198548.42,12.85,72,102,41.4,6,9.5,4,7,3.0,0,7,8.8,17.71,71.4,6,3,5,Medium,29324.086666666662,0.0833333333333333,1.1666666666666667,0.75,2.375,2443.6738888888885,24
PRJ-00668,Renovation,West,484485.66,575599.3,18.81,54,61,12.2,10,13.1,3,2,2.0,2,1,5.13,3.35,36.6,3,2,1,Medium,48448.566,0.1851851851851851,0.2,0.6666666666666666,4.366666666666666,8971.956666666667,30
PRJ-00515,Commercial,East,165809.94,176790.34,6.62,56,73,30.6,7,11.6,5,6,4.0,1,5,2.71,11.69,25.2,3,7,3,Medium,23687.134285714284,0.125,0.8571428571428571,0.8,2.32,2960.8917857142856,35
PRJ-00245,Industrial,East,242974.08,308423.6,26.94,52,71,35.99,7,10.7,6,6,6.0,2,5,7.25,14.46,34.0,2,1,0,Medium,34710.58285714286,0.1346153846153846,0.8571428571428571,1.0,1.7833333333333332,4672.578461538461,42
PRJ-00468,Renovation,North,164441.06,193832.12,17.87,78,104,32.7,7,11.1,4,6,4.0,1,1,7.96,14.67,74.0,0,2,1,Medium,23491.58,0.0897435897435897,0.8571428571428571,1.0,2.775,2108.2187179487178,28
PRJ-00494,Commercial,Central,174046.23,209426.81,20.33,66,91,38.63,7,15.0,9,8,6.0,2,7,10.42,22.69,70.3,3,4,2,Medium,24863.747142857144,0.106060606060606,1.1428571428571428,0.6666666666666666,1.6666666666666667,2637.064090909091,63
PRJ-00055,Infrastructure,Central,74873.07,85455.06,14.13,53,54,2.57,6,12.4,6,6,4.0,3,1,1.98,5.17,38.4,16,4,1,Low,12478.845,0.1132075471698113,1.0,0.6666666666666666,2.066666666666667,1412.6994339622645,36
PRJ-01168,Industrial,North,240717.17,281213.17,16.82,68,86,26.89,8,3.9,8,9,5.0,1,1,5.82,3.92,53.9,7,1,1,Medium,30089.64625,0.1176470588235294,1.125,0.625,0.4875,3539.958382352941,64
PRJ-00769,Residential,Central,817620.24,918044.66,12.28,63,83,32.25,12,17.2,5,6,4.0,2,1,6.97,5.58,43.8,9,2,2,Medium,68135.02,0.1904761904761904,0.5,0.8,3.44,12978.099047619047,60
PRJ-00310,Residential,Central,1053992.21,1338008.57,26.95,78,119,52.29,16,14.3,7,10,3.0,3,5,7.31,22.95,54.3,2,0,2,High,65874.513125,0.2051282051282051,0.625,0.4285714285714285,2.042857142857143,13512.72064102564,112
PRJ-00057,Commercial,Central,439588.72,527442.75,19.99,54,67,24.93,9,5.9,3,8,1.0,0,0,7.79,13.59,53.1,3,4,0,Medium,48843.19111111111,0.1666666666666666,0.8888888888888888,0.3333333333333333,1.9666666666666668,8140.531851851852,27
PRJ-00087,Infrastructure,South,114962.83,145615.11,26.66,54,73,35.26,6,13.3,6,6,5.0,0,4,3.94,6.95,57.7,7,0,0,Medium,19160.471666666668,0.1111111111111111,1.0,0.8333333333333334,2.216666666666667,2128.9412962962965,36
PRJ-00722,Commercial,Central,878467.61,1083359.51,23.32,69,100,44.83,14,7.9,6,8,7.0,2,3,7.67,10.51,73.6,4,4,2,Medium,62747.68642857143,0.2028985507246377,0.5714285714285714,1.1666666666666667,1.3166666666666669,12731.41463768116,84
PRJ-00307,Commercial,West,622636.91,788152.81,26.58,65,92,41.16,10,15.7,5,6,1.0,0,2,7.5,14.64,68.4,2,2,1,Medium,62263.691000000006,0.1538461538461538,0.6,0.2,3.14,9579.029384615384,50
PRJ-00737,Residential,East,222839.63,268567.02,20.52,59,77,30.64,7,24.6,7,6,3.0,1,3,0.0,22.18,29.5,1,1,1,Medium,31834.23285714286,0.1186440677966101,0.8571428571428571,0.4285714285714285,3.5142857142857147,3776.942881355932,49
PRJ-01178,Commercial,Central,224201.96,270901.61,20.83,50,71,41.62,7,20.9,8,14,6.0,0,5,6.08,9.8,45.3,1,1,2,Medium,32028.851428571423,0.14,2.0,0.75,2.6125,4484.0392,56
PRJ-00713,Infrastructure,North,448882.52,513256.62,14.34,80,106,33.07,10,22.2,6,6,4.0,3,5,9.33,10.98,32.9,15,2,1,Medium,44888.252,0.125,0.6,0.6666666666666666,3.7,5611.0315,60
PRJ-00583,Residential,Central,945570.0,1077282.44,13.93,70,89,26.81,15,9.0,4,5,3.0,2,1,4.68,2.84,59.5,5,4,1,Medium,63038.0,0.2142857142857142,0.3333333333333333,0.75,2.25,13508.142857142857,60
PRJ-01023,Renovation,West,178120.93,215222.37,20.83,55,76,37.38,6,6.1,7,6,7.0,6,6,8.75,14.47,71.4,3,3,6,High,29686.821666666667,0.109090909090909,1.0,1.0,0.8714285714285713,3238.5623636363634,42
